Förderempfänger,Stadt/Gemeinde,Ort,Bundesland,Anzahl_Förderungen,Fördersumme_EUR_gesamt,Erste_Laufzeit_von,Letzte_Laufzeit_bis,Ressorts
Technische Universität Berlin,Berlin,Berlin,Berlin,2566,1250795431.00,06.08.1969,31.03.2031,"BMFTR, BMLEH, BMUKN, BMV, BMWE"
Charité - Universitätsmedizin Berlin,Berlin,Berlin,Berlin,1091,1224831109.00,01.09.1998,30.04.2031,"BMFTR, BMLEH, BMUKN, BMV, BMWE"
Gauss Centre for Supercomputing (GCS) e.V.,Berlin,Berlin,Berlin,7,813440933.00,01.11.2008,31.12.2032,BMFTR
"Senatsverwaltung für Wissenschaft, Gesundheit und Pflege",Berlin,Berlin,Berlin,2,784894686.00,01.01.2021,31.12.2026,BMFTR
Freie Universität Berlin,Berlin,Berlin,Berlin,1341,589833456.00,01.10.1969,28.02.2031,"BMFTR, BMLEH, BMUKN, BMV, BMWE"
Konrad-Adenauer-Stiftung e.V.,Berlin,Berlin,Berlin,8,574875204.00,01.01.1970,31.12.2029,BMFTR
Humboldt-Universität zu Berlin,Berlin,Berlin,Berlin,982,506488318.00,01.07.1990,31.10.2030,"BMFTR, BMLEH, BMUKN, BMV, BMWE"
Stiftung der Deutschen Wirtschaft (sdw) gGmbH,Berlin,Berlin,Berlin,13,321170790.00,01.04.1995,31.12.2029,BMFTR
Helmholtz-Zentrum Berlin für Materialien und Energie Gesellschaft mit beschränkter Haftung,Berlin,Berlin,Berlin,268,310489970.00,01.01.1971,31.03.2031,"BMFTR, BMV, BMWE"
Forschungsverbund Berlin e.V.,Berlin,Berlin,Berlin,502,270717868.00,01.01.1991,31.03.2031,"BMFTR, BMLEH, BMV, BMWE"
Verein zur Förderung eines Deutschen Forschungsnetzes e.V. (DFN-Verein),Berlin,Berlin,Berlin,16,247214208.00,01.07.1984,31.07.2009,BMFTR
Rosa-Luxemburg-Stiftung - Gesellschaftsanalyse und Politische Bildung e. V.,Berlin,Berlin,Berlin,4,238587027.00,01.10.1999,31.12.2029,BMFTR
Heinrich-Böll-Stiftung e.V.,Berlin,Berlin,Berlin,5,236691182.00,01.07.1991,31.12.2029,BMFTR
Berliner Verkehrsbetriebe (BVG),Berlin,Berlin,Berlin,53,217215803.00,15.08.1976,31.12.2027,"BMFTR, BMV, BMWE"
Heinrich-Hertz Institut für Nachrichtentechnik Berlin e. V. & Co. KG,Berlin,Berlin,Berlin,145,162968812.00,01.06.1970,31.07.2002,BMFTR
"Ferdinand-Braun-Institut gGmbH, Leibniz- Institut für Höchstfrequenztechnik",Berlin,Berlin,Berlin,85,153411672.00,01.08.2014,30.06.2029,"BMFTR, BMWE"
Max-Delbrück-Centrum für Molekulare Medizin in der Helmholtz-Gemeinschaft (MDC),Berlin,Berlin,Berlin,203,146676027.00,01.07.1991,31.07.2030,"BMFTR, BMLEH"
Deutsche Bahn Aktiengesellschaft,Berlin,Berlin,Berlin,137,141263746.00,01.04.1974,30.09.2028,"BMFTR, BMV, BMWE"
