Förderempfänger,Ort,FKZ,Fördersumme_EUR,Laufzeit von,Laufzeit bis,Thema des geförderten Vorhabens,Ressort,Förderart
#BIKEYGEES e.V.,Berlin,VB2508,277076.00,01.10.2025,30.09.2028,"YallaFAHR - Überdurchschnittlich viele Frauen mit Migrationsgeschichte sind nicht aktiv am Radfahrkehr beteiligt. Durch innovative peer-to-peer-Angebote werden sie praktisch begleitet, Radfahren zu lernen und andere zu unterstützen.",BMV,Direkte Projektförderung
'der freie beruf' Dienstleistungs- und Verlagsgesellschaft mbH,Berlin,K332700 /7,10054408.00,01.12.1995,31.12.2006,Sonderprogramm zur Entwicklung zusätzlicher Ausbildungsplätze in den neuen Bundesländern und im Ostteil Berlins (Ausbildungsplatzentwickler),BMFTR,Direkte Projektförderung
'Lettre International' Verlagsgesellschaft mbH,Berlin,EJB05002,10000.00,01.01.2005,31.07.2005,"Einladung von ca. 1.500 internationalen Persönlichkeiten zur Einsendung von Stellungnahmen zur Person Einsteins mit dem Ziel ihrer Veröffentlichung in der Lettre International, ihrer Präsentation im öffentlichen Raum und im Internet.",BMFTR,Direkte Projektförderung
100 prozent erneuerbar stiftung,Berlin,03EI5225D,80406.00,01.10.2021,30.09.2024,"Verbundvorhaben: ENGAGE - Energieforschung und Netzwerkbildung zum gemeinschaftlichen Ausbau gesellschaftlicher Engagementmöglichkeiten, Teilvorhaben: Digitale Lösungen für die Verbreitung von partizipativen Energiewende-Modellen",BMWE,Direkte Projektförderung
100 prozent erneuerbar stiftung,Berlin,03DPC0401B,25704.00,01.01.2025,30.09.2025,"DATIpilot - Community - CommunitE-Innovation - Bundesweite Bürgerenergie-Community für gemeinschaftsgetragene Energieversorgung in regionalen Innovations-Ökosystemen - Managementprojekt, TP2: Ausschreibungen Innovationsprojekte und Politische Impulse",BMFTR,Direkte Projektförderung
1000shapes GmbH,Berlin,13GW0208C,312487.00,01.10.2017,31.12.2020,Verbundprojekt: KI (Künstliche Intelligenz)-basierte digitale Therapieunterstützung für die Kardiologie (ArtiCardio) - Teilvorhaben: Statistische Formmodelle kardiovaskulärer Strukturen,BMFTR,Direkte Projektförderung
1000shapes GmbH,Berlin,13GW0372B,469235.00,01.10.2019,31.03.2023,Verbundprojekt: 3D Multimodales Navigationssystem für transvaskuläre Interventionen (TRANSNAV) - Teilvorhaben: 3D und 4D Modelle von Gefäß- und Organstrukturen zur schnellen und robusten Rekonstruktion aus kardiologischen Bilddaten,BMFTR,Direkte Projektförderung
2N2K Deutschland e.V.,Berlin,67KF0151A,536421.00,01.11.2021,31.03.2025,Verbundprojekt: NKI: CULTURE4CLIMATE - Initiative zur Umsetzung der globalen Klima- und Nachhaltigkeitsziele im Kulturbereich,BMUKN,Direkte Projektförderung
2txt - natural language generation GmbH,Berlin,16IS23013B,228763.00,01.04.2023,31.03.2026,Verbundprojekt: More-with-less - Effiziente Sprachmodelle für KMUs,BMFTR,Direkte Projektförderung
2txt - natural language generation GmbH,Berlin,16IS26038B,525241.00,01.07.2026,30.06.2029,KMUi38: Souveräne Prozess-Automatisierung durch ressourceneffiziente KI-Agenten (SPARK),BMFTR,Direkte Projektförderung
2° Investing Initiative Deutschland e.V.,Berlin,67KF0076,646165.00,01.01.2018,31.03.2021,NKI: Klima-Finanzprodukt-Scanner für Kleinanleger und Banken (KliFin-Scanner),BMUKN,Direkte Projektförderung
365FarmNet Group KGaA mbH & Co KG,Berlin,2815709515,71814.00,15.05.2016,15.01.2020,Verbundprojekt: Orchestrierung von Prozessketten für eine datengetriebene Ressourcenoptimierung in der Agrarwirtschaft und -technik (OPeRAte) - Teilprojekt 1,BMLEH,Direkte Projektförderung
365FarmNet Group KGaA mbH & Co KG,Berlin,2815700715,160395.00,01.08.2016,30.11.2019,Verbundprojekt: Methoden und Technologien zur Unterstützung einer vorausschauenden Planung und Steuerung kooperativer landwirtschaftlicher Prozesse am Beispiel der Silomaisernte (prospectiveHARVEST) - Teilprojekt 3,BMLEH,Direkte Projektförderung
